from,to,weight
P2KLSpPsvWVPhtTUBJMGs42FgzTfGTcs5evMiDxxFbmCCzg,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1699.0
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KGPMUmAzdXEuSppuwovgB1v1jpVcEkfUhXbRjMn1QJi2n,60029.0
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KGkkeHZ3HUUT8vuoXUR417giY9oAu4TBasRdCm7f4YZxo,17112.3
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KFbDwnX6eSShU8XHFWzNQaoBwtU1UZWvg6Rn5xAcfS8u2,13879.0
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,123804.9
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K6BxpidjBaAGoN3R6mSXymEWUGd99NwcQyXTHmUMWjiPp,643.3
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K4SuHcNAAgTHbZy4NHHDdNvbHaVQiEbWYNGVJBaTf3neS,12032.7
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KCYuy5rNiZsiaEk2nPHuRVWARAyrwH6aWkY1SHoCn8mkB,67890.7
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KG6mQT62WH9t6iZessNQ4X3bzj9Ga8VqoHQK2g1VXkg1P,35.9
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KDREixHkJj2rs3YgKNrt4CrGfbTP6Wn1H1mV9HXpYB7ji,515514.4
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KLw5PjnorLjTj6gffk7kyuTy288LYX4Y4fMorFYLDwUWn,26326.1
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KAsaBUMFMz9npQmH1hM6fbQo8v6DqTJ75qLqwr22ExvR5,212.0
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KLkSim9KwPfsbRTmbVLDsryZzdTHwyEPxfRE5CBTGVTxw,6848.0
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KBYS6kiTfJmyyb1Qf5Jbm5P12DPJLYVv3EPbBuooLd2wW,7226.0
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KH1GwUrWjoAqDh7J8P2x92LXzMRfsDrSxmLc9jUVv3i5K,11061.1
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KCQqEyMwokTecDojpUw4MBx2Sb5UZsFAU1sNby8fvYHmt,5747.0
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K9GfwoxRiVXkfNeQMts2Z3YkuhihRfWhsUADQV9x2iWPP,1061.6
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K4VyWB3iXpmRNB1jReKxzMebfHj2v833WtHp6QhcV9LvL,1974.4
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KJMebtPfEg4prrTFzGDV22R9vJ2ZMXc5Q1eFSKugwDjxB,10000.9
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KEZmgqVXFM5e7ukdFg4NosX3S8w19ZMfZRBrAYMK8dfy2,2862.6
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KHAfFWcHwTkcEo6vjKHVVuCYMQ1s4u54RnzYPJLL8khP4,65230.1
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KGcXpQFEGoCmBK349dUEkGcmPWnsnTbtLjcyfc9JBbRYF,1971.6
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KGNjcwEbdVFGcgmGf4JW24us4xkNk9B5GPA5NwKJBs52y,24021.4
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K9ZJfPBy75pbqGVmbJs19NCnFuV4qb4mnyLdy3YNYdtC3,15315.7
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K97UNACjsjXLNmzTcdw4ExJjURxGsesFCz7UEnZxece1T,51944.9
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KCEyV4gk33eU9DZm5LvUmBw5NhjBfMLNGJRBQfMuBroHp,11515.3
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K9nMJhhj495YmkX1h65fk4S5hwNNAxjiYeRd2CQSrTLNu,6181.2
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2K49T7Cp5CyyoZG85TXuENeaGCp5LwvqQSX7ZWDYUJhvHb,51973.9
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KAiiyMSkxYyCj6ofvfhFdVAAUQYqZizEmVHS5cDf1nqV9,51962.9
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KK2v9GMuc17uL7m1TFH6C4y2264YFNNM6kHvRfXzdwGLH,4173.6
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KKMcU2krRadWEPNzbZ4oM91qCkzAQoHJ1pW1U8fYscPGD,53498.7
P2K5DWfTwKtuSrDWraqkzPhFkGD2K6SygMsEWmPjai11uzi,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,49999.0
P2KKebR5uYVCaBzyAau3Y1sBhPsTjWZnprcLzXBXU4Bej5X,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,12952.6
P2KGM35MpouJDVgFv2KHWEPRHN6kQmyhAorpnAAD5XY4WiU,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,2304.0
P2K93e8vaMGV3QL5f5WcmZmk8rzbV4RYkazqA4ewf1hLViE,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,30081.6
P2KLFFNKC7tqmWZYtDo75JLmjm815PmscQgeErWSRbAVdh5,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,49.0
P2KK1P9nsY38c1nnSh5KmMhERXWLkEBVyo2ebWdwiKMivpc,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,71314.7
P2KL7MRiv18HUWhqk77HyJ5b5wZqYAfTTUpbcNUnicZNmDo,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1577.4
P2KE5ESRUP6gx215vmFj9nEMtx5z2k64fkSJD5FYKM891aw,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,549999.0
P2KBNruHer7u917A92yJCKQND3FD8xJwKoND2NCpy7VBGFE,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,29.0
P2K6TcaAgMQsMp76JDiaquttub1SnKCJiunEhSsxx6Y6W8t,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,9989.0
P2K5EW7GaqtEm47znjnn4FZxH2SY38DNrwyFt6wS4ZHmxPM,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,4312.0
P2KGJSn3SKH5dRK6csEQ22NKKjN2pANeqbeefmDuYiZcTef,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1237.2
P2KEZxHHTTrKnf1dmXeKZUJGgjgLRwYxcyQgqNRTYuo5JZq,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,230483.0
P2K6vCyNJXBLZWStTNeYHg7cnHLqaNhWoM31mFU5dgKaZbY,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,95435.1
P2KCtaF4ZMN4J3kafYcwiJrtNFiQhdcpao79yGMKRnj5Sxx,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,53811.0
